setu,date,home_team,home_victory,home_score,away_team,away_score,home_away,attendance,arena,arena_rate
1,10.03,川崎,win,78,宇都宮,57,home,9514,横アリ,56
1,10.03,宇都宮,lose,57,川崎,78,away,9514,横アリ,56
1,10.05,秋田,win,81,大阪,58,home,4335,CNA,95
1,10.05,大阪,lose,58,秋田,81,away,4335,CNA,95
1,10.05,A東京,win,87,新潟,59,home,2940,立川立飛,98
1,10.05,新潟,lose,59,A東京,87,away,2940,立川立飛,98
1,10.05,SR渋谷,win,88,千葉,80,home,4132,青山学院,165
1,10.05,千葉,lose,80,SR渋谷,88,away,4132,青山学院,165
1,10.05,島根,lose,58,名古屋D,72,home,2646,松江総体,56
1,10.05,名古屋D,win,72,島根,58,away,2646,松江総体,56
1,10.05,京都,win,89,滋賀,71,home,3165,ハンアリ,63
1,10.05,滋賀,lose,71,京都,89,away,3165,ハンアリ,63
1,10.05,富山,win,87,三遠,67,home,3521,富山市総,76
1,10.05,三遠,lose,67,富山,87,away,3521,富山市総,76
1,10.05,琉球,lose,61,三河,71,home,3478,沖縄市,109
1,10.05,三河,win,71,琉球,61,away,3478,沖縄市,109
1,10.06,島根,lose,63,名古屋D,66,home,2373,松江総体,50
1,10.06,名古屋D,win,66,島根,63,away,2373,松江総体,50
1,10.06,SR渋谷,win,83,千葉,78,home,3774,青山学院,151
1,10.06,千葉,lose,78,SR渋谷,83,away,3774,青山学院,151
1,10.06,富山,win,88,三遠,71,home,2716,富山市総,58
1,10.06,三遠,lose,71,富山,88,away,2716,富山市総,58
1,10.06,京都,win,72,滋賀,69,home,2916,ハンアリ,58
1,10.06,滋賀,lose,69,京都,72,away,2916,ハンアリ,58
1,10.06,秋田,lose,70,大阪,77,home,3759,CNA,83
1,10.06,大阪,win,77,秋田,70,away,3759,CNA,83
1,10.06,琉球,win,80,三河,76,home,3330,沖縄市,104
1,10.06,三河,lose,76,琉球,80,away,3330,沖縄市,104
1,10.06,北海道,win,72,横浜,67,home,5601,北海きた,70
1,10.06,横浜,lose,67,北海道,72,away,5601,北海きた,70
1,10.06,A東京,win,94,新潟,84,home,2518,立川立飛,84
1,10.06,新潟,lose,84,A東京,94,away,2518,立川立飛,84
1,10.06,川崎,win,75,宇都宮,69,home,5214,とどろき,80
1,10.06,宇都宮,lose,69,川崎,75,away,5214,とどろき,80
1,10.07,北海道,win,81,横浜,75,home,2694,北海きた,34
1,10.07,横浜,lose,75,北海道,81,away,2694,北海きた,34
2,10.11,北海道,win,75,島根,71,home,2439,北海きた,30
2,10.11,島根,lose,71,北海道,75,away,2439,北海きた,30
2,10.11,横浜,win,75,秋田,60,home,2852,横浜文体,57
2,10.11,秋田,lose,60,横浜,75,away,2852,横浜文体,57
2,10.12,滋賀,lose,71,宇都宮,84,home,2752,YMIT,79
2,10.12,宇都宮,win,84,滋賀,71,away,2752,YMIT,79
2,10.12,北海道,win,75,島根,53,home,4005,北海きた,50
2,10.12,島根,lose,53,北海道,75,away,4005,北海きた,50
2,10.12,京都,win,91,富山,90,home,1116,ハンアリ,22
2,10.12,富山,lose,90,京都,91,away,1116,ハンアリ,22
2,10.13,滋賀,lose,90,宇都宮,96,home,3718,YMIT,106
2,10.13,宇都宮,win,96,滋賀,90,away,3718,YMIT,106
2,10.13,三河,lose,78,千葉,82,home,2906,WA刈谷,121
2,10.13,千葉,win,82,三河,78,away,2906,WA刈谷,121
2,10.13,名古屋D,win,75,三遠,65,home,5002,ドルアリ,67
2,10.13,三遠,lose,65,名古屋D,75,away,5002,ドルアリ,67
2,10.13,京都,win,90,富山,84,home,1386,ハンアリ,28
2,10.13,富山,lose,84,京都,90,away,1386,ハンアリ,28
2,10.13,大阪,win,90,琉球,85,home,3813,おおきに,54
2,10.13,琉球,lose,85,大阪,90,away,3813,おおきに,54
2,10.13,新潟,lose,62,川崎,71,home,3414,アオーレ,157
2,10.13,川崎,win,71,新潟,62,away,3414,アオーレ,157
2,10.14,新潟,lose,67,川崎,70,home,3444,アオーレ,159
2,10.14,川崎,win,70,新潟,67,away,3444,アオーレ,159
2,10.14,三河,win,84,千葉,107,home,2618,WA刈谷,109
2,10.14,千葉,lose,107,三河,84,away,2618,WA刈谷,109
2,10.14,名古屋D,win,88,三遠,74,home,3683,ドルアリ,49
2,10.14,三遠,lose,74,名古屋D,88,away,3683,ドルアリ,49
2,11.24,A東京,win,85,SR渋谷,67,home,3092,立川立飛,103
2,11.24,SR渋谷,lose,67,A東京,85,away,3092,立川立飛,103
2,11.25,A東京,lose,65,SR渋谷,77,home,2465,立川立飛,82
2,11.25,SR渋谷,win,77,A東京,65,away,2465,立川立飛,82
2,02.12,横浜,lose,75,秋田,93,home,2020,横浜国プ,18
2,02.12,秋田,win,93,横浜,75,away,2020,横浜国プ,18
2,02.12,大阪,lose,55,琉球,73,home,3818,大阪府立,48
2,02.12,琉球,win,73,大阪,55,away,3818,大阪府立,48
3,10.16,秋田,win,65,A東京,60,home,2909,CNA,64
3,10.16,A東京,lose,60,秋田,65,away,2909,CNA,64
3,10.16,千葉,lose,69,宇都宮,76,home,4424,船橋,101
3,10.16,宇都宮,win,76,千葉,69,away,4424,船橋,101
3,10.16,SR渋谷,win,83,北海道,76,home,2111,墨田区,35
3,10.16,北海道,lose,76,SR渋谷,83,away,2111,墨田区,35
3,10.16,三遠,lose,71,横浜,80,home,3399,豊橋,169
3,10.16,横浜,win,80,三遠,71,away,3399,豊橋,169
3,10.16,三河,win,93,新潟,74,home,2458,WA刈谷,102
